ID,SourceStructureID,TypeSource,TargetStructureID,TypeTarget,Bidirectional,LastModified,Links
653,1537,Ribbon Synapse,263,Postsynapse,False,2019-07-15T18:36:25.5-07:00,"[{'SourceID': 27876, 'TargetID': 38920, 'Directional': False}]"
654,1537,Ribbon Synapse,38865,Postsynapse,False,2019-07-15T17:25:12.8-07:00,"[{'SourceID': 27879, 'TargetID': 38876, 'Directional': False}]"
655,1537,Ribbon Synapse,262,Postsynapse,False,2019-07-15T18:20:21.34-07:00,"[{'SourceID': 27879, 'TargetID': 38907, 'Directional': False}]"
656,1537,Ribbon Synapse,38927,Postsynapse,False,2019-07-15T19:03:05.4-07:00,"[{'SourceID': 27882, 'TargetID': 38928, 'Directional': False}]"
657,1537,Ribbon Synapse,262,Postsynapse,False,2019-07-15T23:02:31.587-07:00,"[{'SourceID': 27882, 'TargetID': 38978, 'Directional': False}]"
658,1537,Ribbon Synapse,38937,Postsynapse,False,2019-07-15T23:02:57.337-07:00,"[{'SourceID': 27882, 'TargetID': 38980, 'Directional': False}]"
659,1537,Ribbon Synapse,262,Postsynapse,False,2019-07-15T18:24:57.72-07:00,"[{'SourceID': 27883, 'TargetID': 38911, 'Directional': False}]"
660,1537,Ribbon Synapse,38937,Postsynapse,False,2019-07-15T19:17:00.27-07:00,"[{'SourceID': 27883, 'TargetID': 38938, 'Directional': False}]"
661,1537,Ribbon Synapse,38981,Postsynapse,False,2019-07-15T23:09:58.607-07:00,"[{'SourceID': 27883, 'TargetID': 38982, 'Directional': False}]"
662,1537,Ribbon Synapse,2712,Postsynapse,False,2019-07-15T19:20:30.757-07:00,"[{'SourceID': 27885, 'TargetID': 38941, 'Directional': False}]"
663,1537,Ribbon Synapse,38968,Postsynapse,False,2019-07-15T21:53:21.583-07:00,"[{'SourceID': 27885, 'TargetID': 38969, 'Directional': False}]"
664,1537,Ribbon Synapse,262,Postsynapse,False,2019-07-15T23:21:08.933-07:00,"[{'SourceID': 27887, 'TargetID': 38985, 'Directional': False}]"
665,1537,Ribbon Synapse,38968,Postsynapse,False,2019-07-16T22:20:39.53-07:00,"[{'SourceID': 27887, 'TargetID': 39003, 'Directional': False}]"
666,1537,Ribbon Synapse,39004,Postsynapse,False,2019-07-16T22:21:38.097-07:00,"[{'SourceID': 27890, 'TargetID': 39005, 'Directional': False}]"
667,1537,Ribbon Synapse,262,Postsynapse,False,2019-07-16T22:42:40.37-07:00,"[{'SourceID': 27890, 'TargetID': 39012, 'Directional': False}]"
668,1537,Ribbon Synapse,262,Postsynapse,False,2019-07-15T23:27:23.273-07:00,"[{'SourceID': 27891, 'TargetID': 38987, 'Directional': False}]"
669,1537,Ribbon Synapse,39045,Postsynapse,False,2019-07-17T19:34:26.423-07:00,"[{'SourceID': 27891, 'TargetID': 39031, 'Directional': False}]"
670,1537,Ribbon Synapse,39045,Postsynapse,False,2019-07-17T20:36:10.09-07:00,"[{'SourceID': 27891, 'TargetID': 39046, 'Directional': False}]"
671,1537,Ribbon Synapse,262,Postsynapse,False,2019-07-17T22:10:06.373-07:00,"[{'SourceID': 27892, 'TargetID': 39061, 'Directional': False}]"
672,1537,Ribbon Synapse,39062,Postsynapse,False,2019-07-17T22:12:05.897-07:00,"[{'SourceID': 27892, 'TargetID': 39063, 'Directional': False}]"
673,1537,Ribbon Synapse,262,Postsynapse,False,2019-07-15T23:28:19.493-07:00,"[{'SourceID': 27895, 'TargetID': 38989, 'Directional': False}]"
674,1537,Ribbon Synapse,39065,Postsynapse,False,2019-07-17T23:16:37.81-07:00,"[{'SourceID': 27895, 'TargetID': 39066, 'Directional': False}]"
675,1537,Ribbon Synapse,262,Postsynapse,False,2020-11-28T19:50:28.803-08:00,"[{'SourceID': 27895, 'TargetID': 46313, 'Directional': False}]"
676,1537,Ribbon Synapse,39069,Postsynapse,False,2019-07-17T23:25:59.807-07:00,"[{'SourceID': 27896, 'TargetID': 39070, 'Directional': False}]"
