ID,TypeID,Notes,Verified,Tags,Confidence,Version,ParentID,Created,Label,Username,LastModified
1,1,"Probable Rod Bipolar cell
*****BEGIN MERGE FROM 26243*****
Possible branch off C1
*****END MERGE FROM 26243*****
41664,85,,False,,0.5,AAAAAAAs5Tw=,2455,2020-01-03T21:50:46.957-08:00,,JHY             ,2020-01-03T21:50:46.957-08:00
41665,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs5gw=,2455,2020-01-03T22:44:08.667-08:00,,JHY             ,2020-01-03T22:44:08.667-08:00
41666,85,,False,,0.5,AAAAAAAs5j4=,2455,2020-01-03T22:54:55.937-08:00,,JHY             ,2020-01-03T22:54:55.937-08:00
41667,85,,False,,0.5,AAAAAAAs5lA=,2455,2020-01-03T22:55:49.817-08:00,,JHY             ,2020-01-03T22:55:49.817-08:00
41668,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAznoI=,265,2020-01-06T18:38:27.89-08:00,,arhous1517      ,2020-09-23T19:11:04.997-07:00
41670,262,,False,,0.5,AAAAAAAs6DM=,2455,2020-01-06T21:07:10.42-08:00,,JHY             ,2020-01-06T21:07:10.42-08:00
41671,34,,False,,0.5,AAAAAAAs6EU=,2455,2020-01-06T21:10:27.55-08:00,,JHY             ,2020-01-06T21:10:27.55-08:00
41672,28,,False,,0.5,AAAAAAAs6FM=,2455,2020-01-06T21:12:32.757-08:00,,JHY             ,2020-01-06T21:12:32.757-08:00
41673,28,,False,,0.5,AAAAAAAs6FU=,2455,2020-01-06T21:13:39.593-08:00,,JHY             ,2020-01-06T21:13:39.593-08:00
41674,28,,False,,0.5,AAAAAAAs6Fw=,2455,2020-01-06T21:34:35.533-08:00,,JHY             ,2020-01-06T21:34:35.533-08:00
41675,28,,False,,0.5,AAAAAAAs6F4=,2455,2020-01-06T21:34:56.66-08:00,,JHY             ,2020-01-06T21:34:56.66-08:00
